"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"106",106,1,0,0.6,0.00892857142857143,0.00888096805,0.009144369309,0.00878683603,0.006190593716,0.008953221149,1.678901951,3.241,1.316,3.19
"107",107,5,0,0.6,0.00892857142857143,0.008683771693,0.0087656954,0.008853872078,0.005669769293,2.9252253e-05,1.670623301,3.105,1.204,3.069
"108",108,10,0,0.6,0.00892857142857143,0.009049364975,0.009104208654,0.008820495567,0.006183630029,0,1.67819127,3.296,1.32,3.236
"109",109,15,0,0.6,0.00892857142857143,0.008806590274,0.008812826351,0.0089602513,0.005998744361,0,1.671018466,3.165,1.279,3.118
"110",110,20,0,0.6,0.00892857142857143,0.008996941457,0.00910681006,0.009086624747,0.005940159925,0,1.671702827,3.249,1.27,3.186
"111",111,25,0,0.6,0.00892857142857143,0.00889111861,0.009035409826,0.0095760201,0.005635544657,0,1.673072629,3.059,1.202,3.034
"112",112,30,0,0.6,0.00892857142857143,0.009176204456,0.009143705405,0.009133244242,0.005951558754,0,1.67177852,3.226,1.266,3.174
"113",113,0,0,0.7,0.00892857142857143,0.008951633946,0.008849172309,0.008938187251,0.012029819172,0.4993619304,2.367375262,4.441,2.562,4.387
"114",114,1,0,0.7,0.00892857142857143,0.008846809285,0.008665626643,0.009111166104,0.003703992633,0.009154656486,1.451925536,2.655,0.788,2.621
"115",115,5,0,0.7,0.00892857142857143,0.008787097618,0.008759519215,0.008957995964,0.003822659979,2.0533406e-05,1.434566489,2.68,0.814,2.648
"116",116,10,0,0.7,0.00892857142857143,0.009104679024,0.008956341214,0.009173410528,0.003770977806,0,1.434056389,2.82,0.806,2.778
"117",117,15,0,0.7,0.00892857142857143,0.00896309944,0.008970798243,0.008640950335,0.003703125064,0,1.437511011,2.721,0.79,2.676
"118",118,20,0,0.7,0.00892857142857143,0.009075025669,0.009202902966,0.008660677783,0.003738698975,0,1.435065142,2.811,0.797,2.766
"119",119,25,0,0.7,0.00892857142857143,0.008980428706,0.00895135235,0.008906929584,0.0039421912,0,1.438194767,2.764,0.844,2.723
