;simu;n_obs;mutation_rate;c;n_matings;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
173;2;7;0.2;0.5;1;73;102;0.5115207;218;215.098;7;1;1
174;2;7;0.2;0.5;1;74;105;0.4660194;221;215.381;7;4;0
175;2;7;0.2;0.5;1;75;106;0.5971564;220;215.9623;7;5;1
176;2;7;0.2;0.5;1;76;101;0.4423963;215;215.3465;7;0;0
177;2;7;0.2;0.5;1;77;104;0.521327;210;214.8077;7;3;1
178;2;7;0.2;0.5;1;78;101;0.5502392;220;215.0495;7;0;1
179;2;7;0.2;0.5;1;79;101;0.5;221;215.5446;7;0;0
180;2;7;0.2;0.5;1;80;105;0.5627907;214;215.1524;7;4;1
181;2;7;0.2;0.5;1;81;103;0.5694444;231;215.466;7;2;1
182;2;7;0.2;0.5;1;82;101;0.4921466;214;215.1188;7;0;0
183;2;7;0.2;0.5;1;83;103;0.5863636;218;215.5049;7;2;1
184;2;7;0.2;0.5;1;84;101;0.4807692;223;214.5248;7;0;0
185;2;7;0.2;0.5;1;85;101;0.460177;201;215.7525;7;0;0
186;2;7;0.2;0.5;1;86;101;0.5318182;206;215.8416;7;0;1
187;2;7;0.2;0.5;1;87;101;0.4926108;212;214.8416;7;0;0
188;2;7;0.2;0.5;1;88;109;0.3981043;217;216.4037;7;8;0
189;2;7;0.2;0.5;1;89;101;0.4885845;222;214.9703;7;0;0
190;2;7;0.2;0.5;1;90;101;0.5391304;207;215.8812;7;0;1
191;2;7;0.2;0.5;1;91;103;0.461165;212;214.2427;7;2;0
192;2;7;0.2;0.5;1;92;101;0.5114155;224;216;7;0;1
193;2;7;0.2;0.5;1;93;101;0.5364583;221;215.3465;7;0;1
194;2;7;0.2;0.5;1;94;109;0.5209302;215;215.1743;7;8;1
195;2;7;0.2;0.5;1;95;101;0.4611872;215;215.3663;7;0;0
196;2;7;0.2;0.5;1;96;109;0.5353982;204;215.2844;7;8;1
197;2;7;0.2;0.5;1;97;103;0.4861111;218;216.0874;7;2;0
198;2;7;0.2;0.5;1;98;109;0.4887892;207;216.1101;7;8;0
199;2;7;0.2;0.5;1;99;101;0.4808511;206;215.9406;7;0;0
200;2;7;0.2;0.5;1;100;103;0.5093458;219;215.4078;7;2;1
201;3;7;0.05;0.5;1;1;110;0.4563107;230;215.5182;7;9;0
202;3;7;0.05;0.5;1;2;102;0.4782609;216;215.0588;7;1;0
203;3;7;0.05;0.5;1;3;101;0.5330396;212;214.6931;7;0;1
204;3;7;0.05;0.5;1;4;101;0.4474886;217;215.7327;7;0;0
205;3;7;0.05;0.5;1;5;101;0.43379;214;215.6832;7;0;0
206;3;7;0.05;0.5;1;6;101;0.4649123;223;215.7426;7;0;0
207;3;7;0.05;0.5;1;7;117;0.4537445;221;215.7607;7;16;0
208;3;7;0.05;0.5;1;8;107;0.569378;221;215.8411;7;6;1
209;3;7;0.05;0.5;1;9;101;0.509009;219;215.7228;7;0;1
210;3;7;0.05;0.5;1;10;106;0.539267;231;215.9057;7;5;1
211;3;7;0.05;0.5;1;11;101;0.3944954;210;216.0099;7;0;0
212;3;7;0.05;0.5;1;12;103;0.4386792;225;216.6117;7;2;0
213;3;7;0.05;0.5;1;13;147;0.5353982;204;215.3333;7;46;1
214;3;7;0.05;0.5;1;14;148;0.5470085;215;215.1959;7;47;1
215;3;7;0.05;0.5;1;15;101;0.4954545;225;215.6733;7;0;0
216;3;7;0.05;0.5;1;16;101;0.4926108;229;215.6733;7;0;0
217;3;7;0.05;0.5;1;17;106;0.4562212;221;214.8302;7;5;0
218;3;7;0.05;0.5;1;18;101;0.530303;208;215.4257;7;0;1
219;3;7;0.05;0.5;1;19;105;0.4509804;225;215.7048;7;4;0
220;3;7;0.05;0.5;1;20;101;0.5575221;196;215.9901;7;0;1
221;3;7;0.05;0.5;1;21;111;0.44;215;215.3514;7;10;0
222;3;7;0.05;0.5;1;22;101;0.495;228;215.2277;7;0;0
223;3;7;0.05;0.5;1;23;101;0.5141509;214;214.9703;7;0;1
224;3;7;0.05;0.5;1;24;101;0.475;227;215.4059;7;0;0
225;3;7;0.05;0.5;1;25;165;0.5;230;215.0909;7;64;0
226;3;7;0.05;0.5;1;26;109;0.4541284;218;216.0367;7;8;0
227;3;7;0.05;0.5;1;27;101;0.52;226;217.0792;7;0;1
228;3;7;0.05;0.5;1;28;122;0.4776786;222;215.0574;7;21;0
229;3;7;0.05;0.5;1;29;103;0.5045455;230;215.8835;7;2;1
230;3;7;0.05;0.5;1;30;139;0.4651163;205;215.2518;7;38;0
231;3;7;0.05;0.5;1;31;101;0.4807692;223;215.1485;7;0;0
232;3;7;0.05;0.5;1;32;122;0.5818966;208;214.4918;7;21;1
233;3;7;0.05;0.5;1;33;107;0.5;218;215.4206;7;6;0
234;3;7;0.05;0.5;1;34;119;0.4405941;237;215.2353;7;18;0
235;3;7;0.05;0.5;1;35;107;0.4458333;193;215.5607;7;6;0
236;3;7;0.05;0.5;1;36;120;0.5490196;221;216.5917;7;19;1
237;3;7;0.05;0.5;1;37;101;0.495098;215;216.5446;7;0;0
238;3;7;0.05;0.5;1;38;105;0.5656109;214;215.0857;7;4;1
239;3;7;0.05;0.5;1;39;101;0.5454545;196;217.0792;7;0;1
240;3;7;0.05;0.5;1;40;101;0.4497817;206;215.3465;7;0;0
241;3;7;0.05;0.5;1;41;122;0.5136364;204;216.5492;7;21;1
242;3;7;0.05;0.5;1;42;134;0.6267281;218;214.9701;7;33;1
243;3;7;0.05;0.5;1;43;111;0.4572864;224;215.3514;7;10;0
244;3;7;0.05;0.5;1;44;104;0.4746544;216;215.0577;7;3;0
245;3;7;0.05;0.5;1;45;101;0.5555556;223;214.2673;7;0;1
246;3;7;0.05;0.5;1;46;101;0.4434783;209;214.802;7;0;0
247;3;7;0.05;0.5;1;47;133;0.4428571;209;215.0977;7;32;0
248;3;7;0.05;0.5;1;48;102;0.5282051;223;215.9902;7;1;1
249;3;7;0.05;0.5;1;49;130;0.4611872;209;215.6692;7;29;0
250;3;7;0.05;0.5;1;50;150;0.6075949;182;215.6467;7;49;1
251;3;7;0.05;0.5;1;51;101;0.4585366;218;215.198;7;0;0
252;3;7;0.05;0.5;1;52;101;0.6184211;218;215.1683;7;0;1
253;3;7;0.05;0.5;1;53;104;0.6415094;221;215.5096;7;3;1
254;3;7;0.05;0.5;1;54;101;0.5436893;220;214.4554;7;0;1
255;3;7;0.05;0.5;1;55;101;0.4976959;203;215.0297;7;0;0
256;3;7;0.05;0.5;1;56;101;0.4874372;220;216.0693;7;0;0
257;3;7;0.05;0.5;1;57;104;0.4086538;231;214.3846;7;3;0
258;3;7;0.05;0.5;1;58;101;0.5181818;214;214.604;7;0;1
259;3;7;0.05;0.5;1;59;101;0.4655172;211;214.9307;7;0;0
260;3;7;0.05;0.5;1;60;103;0.4482759;203;215.6117;7;2;0
261;3;7;0.05;0.5;1;61;102;0.536036;220;215.3529;7;1;1
